Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, GeneratorLoss
227.054, 1710, 0.221682, 67.19, 0.916203
228.210, 1720, 0.172335, 76.56, 0.943962
229.358, 1730, 0.173407, 75.00, 0.878260
230.515, 1740, 0.187546, 64.06, 0.904015
231.755, 1750, 0.206186, 64.06, 0.766060
233.024, 1760, 0.168996, 82.81, 0.787097
234.262, 1770, 0.153261, 75.00, 0.855099
235.527, 1780, 0.206017, 73.44, 1.067552
236.787, 1790, 0.134184, 82.81, 1.037517
238.062, 1800, 0.181956, 78.12, 0.833102
239.735, 1810, 0.229083, 62.50, 0.922777
240.949, 1820, 0.192683, 76.56, 0.747761
242.142, 1830, 0.172769, 76.56, 0.940510
243.325, 1840, 0.217016, 64.06, 0.729179
244.473, 1850, 0.204321, 70.31, 0.939224
245.629, 1860, 0.192857, 71.88, 0.833485
246.831, 1870, 0.177585, 75.00, 1.106969
248.111, 1880, 0.189923, 75.00, 0.907395
249.317, 1890, 0.203540, 71.88, 0.860091
250.472, 1900, 0.169555, 73.44, 1.035021
251.721, 1910, 0.149936, 78.12, 0.995982
253.000, 1920, 0.161245, 81.25, 0.834674
254.254, 1930, 0.227640, 62.50, 0.949240
255.465, 1940, 0.224466, 62.50, 1.024073
256.672, 1950, 0.283040, 57.81, 0.830589
257.888, 1960, 0.150109, 84.38, 0.839129
259.119, 1970, 0.199917, 73.44, 0.860697
260.332, 1980, 0.202960, 71.88, 0.901260
261.548, 1990, 0.260121, 59.38, 0.870821
262.752, 2000, 0.201615, 68.75, 0.775537
264.471, 2010, 0.249628, 60.94, 1.041652
265.724, 2020, 0.184630, 76.56, 0.779551
267.001, 2030, 0.190483, 68.75, 0.815063
268.196, 2040, 0.156953, 78.12, 0.832301
269.378, 2050, 0.185196, 67.19, 0.954804
270.559, 2060, 0.207360, 59.38, 0.938196
271.738, 2070, 0.126502, 89.06, 0.863388
272.913, 2080, 0.174090, 81.25, 0.925216
274.068, 2090, 0.145232, 81.25, 0.836196
275.218, 2100, 0.164015, 78.12, 0.848268
276.356, 2110, 0.199424, 70.31, 0.845698
277.488, 2120, 0.193602, 71.88, 0.946267
278.627, 2130, 0.217233, 65.62, 1.111573
279.814, 2140, 0.134952, 78.12, 0.997119
281.009, 2150, 0.196044, 75.00, 0.889992
282.238, 2160, 0.126146, 89.06, 0.905851
283.431, 2170, 0.202690, 76.56, 0.878513
284.596, 2180, 0.180091, 68.75, 0.844116
285.864, 2190, 0.198248, 68.75, 0.966650
287.150, 2200, 0.196579, 70.31, 0.756309
288.928, 2210, 0.198907, 68.75, 0.857935
290.189, 2220, 0.217774, 64.06, 1.109750
291.479, 2230, 0.176771, 76.56, 0.849738
292.657, 2240, 0.192666, 68.75, 1.113180
293.847, 2250, 0.200389, 71.88, 1.008005
295.127, 2260, 0.206597, 73.44, 1.244653
296.493, 2270, 0.181285, 76.56, 0.843316
297.774, 2280, 0.161938, 78.12, 0.956749
299.034, 2290, 0.176806, 76.56, 0.987940
300.282, 2300, 0.114679, 85.94, 1.039225
301.458, 2310, 0.208690, 60.94, 1.129442
302.674, 2320, 0.180623, 73.44, 0.900918
303.898, 2330, 0.207858, 68.75, 1.022350
305.153, 2340, 0.207336, 70.31, 0.788023
306.360, 2350, 0.207363, 68.75, 0.855208
307.560, 2360, 0.173330, 78.12, 0.816849
308.803, 2370, 0.183876, 76.56, 0.925001
309.995, 2380, 0.212939, 73.44, 0.883648
311.171, 2390, 0.212951, 60.94, 1.013431
312.433, 2400, 0.290852, 43.75, 1.289942
314.153, 2410, 0.132791, 84.38, 0.944881
315.365, 2420, 0.207577, 65.62, 0.930309
316.517, 2430, 0.201728, 67.19, 0.952380
317.690, 2440, 0.154740, 78.12, 0.949381
318.907, 2450, 0.140027, 82.81, 0.890662
320.114, 2460, 0.227874, 62.50, 0.815806
321.279, 2470, 0.169260, 75.00, 0.917240
322.492, 2480, 0.175581, 78.12, 0.900976
323.688, 2490, 0.164361, 79.69, 1.029913
324.862, 2500, 0.221083, 64.06, 0.907998
326.010, 2510, 0.155148, 81.25, 0.868151
327.190, 2520, 0.180319, 75.00, 1.002720
328.356, 2530, 0.232476, 62.50, 0.948270
329.538, 2540, 0.261540, 64.06, 0.966941
330.721, 2550, 0.197299, 65.62, 0.847514
331.902, 2560, 0.223795, 75.00, 0.795411
333.115, 2570, 0.171035, 71.88, 0.967466
334.447, 2580, 0.137852, 84.38, 0.965267
335.727, 2590, 0.181915, 76.56, 0.956942
336.981, 2600, 0.259275, 64.06, 0.820665
338.834, 2610, 0.197926, 70.31, 0.828855
340.124, 2620, 0.176503, 76.56, 0.842412
341.391, 2630, 0.243923, 60.94, 0.867368
342.876, 2640, 0.243328, 65.62, 0.865471
344.268, 2650, 0.207785, 70.31, 0.948405
345.690, 2660, 0.155064, 79.69, 0.945033
347.050, 2670, 0.153770, 82.81, 0.768455
348.420, 2680, 0.173817, 78.12, 0.923944
349.637, 2690, 0.136727, 89.06, 0.997894
351.037, 2700, 0.132238, 87.50, 0.971452
352.249, 2710, 0.176798, 71.88, 0.860679
353.433, 2720, 0.180805, 73.44, 0.748426
354.710, 2730, 0.178264, 70.31, 0.841329
356.098, 2740, 0.162821, 73.44, 0.872486
357.350, 2750, 0.150245, 78.12, 0.931803
358.573, 2760, 0.204292, 64.06, 0.914605
359.750, 2770, 0.278028, 54.69, 0.878586
360.936, 2780, 0.146978, 87.50, 1.120130
362.160, 2790, 0.166896, 75.00, 1.028433
363.435, 2800, 0.220597, 67.19, 0.952936
365.362, 2810, 0.184281, 71.88, 0.891490
366.628, 2820, 0.187675, 70.31, 0.884789
367.790, 2830, 0.142524, 81.25, 0.981125
368.977, 2840, 0.129954, 84.38, 0.865171
370.203, 2850, 0.175863, 76.56, 0.944667
371.389, 2860, 0.131080, 82.81, 0.981523
372.716, 2870, 0.164688, 81.25, 0.915920
374.036, 2880, 0.145728, 78.12, 0.914125
375.301, 2890, 0.207840, 68.75, 1.016896
376.591, 2900, 0.190960, 73.44, 0.928134
377.885, 2910, 0.168673, 78.12, 0.829321
379.196, 2920, 0.166205, 71.88, 1.132792
380.413, 2930, 0.134139, 84.38, 0.795539
381.661, 2940, 0.214092, 70.31, 1.007031
382.929, 2950, 0.177630, 79.69, 0.963977
384.136, 2960, 0.199335, 76.56, 0.889267
385.372, 2970, 0.213568, 70.31, 0.876305
386.613, 2980, 0.163348, 79.69, 0.873895
387.835, 2990, 0.118589, 87.50, 0.819588
389.122, 3000, 0.126983, 82.81, 0.848356
390.785, 3010, 0.154419, 81.25, 0.847218
391.994, 3020, 0.200489, 67.19, 0.980568
393.243, 3030, 0.162018, 75.00, 0.983287
394.456, 3040, 0.170110, 73.44, 0.894042
395.648, 3050, 0.181436, 71.88, 0.814267
396.862, 3060, 0.200377, 68.75, 0.791557
398.065, 3070, 0.144676, 82.81, 1.182040
399.341, 3080, 0.164482, 79.69, 0.925571
400.600, 3090, 0.146048, 82.81, 0.839755
401.815, 3100, 0.285694, 60.94, 0.874891
403.030, 3110, 0.165782, 71.88, 0.984786
404.211, 3120, 0.141360, 82.81, 0.869840
405.375, 3130, 0.169337, 75.00, 0.833458
406.548, 3140, 0.232842, 65.62, 0.905347
407.703, 3150, 0.180467, 73.44, 0.886049
408.866, 3160, 0.243973, 59.38, 0.947092
410.034, 3170, 0.159372, 79.69, 0.951359
411.211, 3180, 0.125744, 87.50, 0.815726
412.394, 3190, 0.169596, 70.31, 0.850762
413.601, 3200, 0.142677, 87.50, 0.910346
415.260, 3210, 0.133000, 85.94, 0.900206
416.464, 3220, 0.166019, 75.00, 0.934096
417.638, 3230, 0.146202, 82.81, 0.951216
418.873, 3240, 0.117465, 85.94, 1.056562
420.059, 3250, 0.189563, 71.88, 0.754495
421.226, 3260, 0.171863, 78.12, 0.826775
422.509, 3270, 0.249860, 64.06, 0.835431
423.642, 3280, 0.150452, 82.81, 0.979043
424.803, 3290, 0.163912, 75.00, 0.882525
425.945, 3300, 0.194561, 65.62, 0.874979
427.084, 3310, 0.209572, 67.19, 0.803949
428.221, 3320, 0.139646, 79.69, 0.818274
429.358, 3330, 0.176432, 75.00, 0.843364
430.506, 3340, 0.223580, 71.88, 0.909244
431.687, 3350, 0.098561, 90.62, 1.006002
432.950, 3360, 0.137040, 81.25, 0.834770
434.218, 3370, 0.137885, 82.81, 0.978584
435.451, 3380, 0.195580, 64.06, 0.979586
436.634, 3390, 0.214810, 70.31, 1.064037
437.794, 3400, 0.233573, 65.62, 0.948103
439.469, 3410, 0.210295, 68.75, 0.883774
440.739, 3420, 0.145670, 81.25, 0.823530
441.923, 3430, 0.181777, 68.75, 1.005779
443.077, 3440, 0.151390, 81.25, 0.785180
444.234, 3450, 0.182331, 78.12, 0.849585
445.413, 3460, 0.132986, 84.38, 0.838934
446.601, 3470, 0.131832, 90.62, 0.851455
447.804, 3480, 0.138998, 81.25, 0.754015
449.011, 3490, 0.115219, 85.94, 0.899124
450.201, 3500, 0.189883, 78.12, 0.908999
451.377, 3510, 0.166663, 73.44, 0.983675
452.555, 3520, 0.224326, 64.06, 1.001413
453.736, 3530, 0.136246, 87.50, 0.924684
454.904, 3540, 0.140695, 85.94, 0.954054
456.064, 3550, 0.211543, 71.88, 0.897732
457.231, 3560, 0.127486, 84.38, 0.882023
458.421, 3570, 0.218715, 59.38, 0.848805
459.594, 3580, 0.162109, 82.81, 0.998053
460.812, 3590, 0.163873, 75.00, 0.933451
462.070, 3600, 0.179362, 70.31, 0.849334
463.743, 3610, 0.131520, 81.25, 0.819818
464.959, 3620, 0.107580, 89.06, 0.899676
466.162, 3630, 0.148713, 78.12, 0.869875
467.368, 3640, 0.148765, 76.56, 1.032178
468.547, 3650, 0.172231, 76.56, 0.929845
469.856, 3660, 0.189377, 75.00, 0.807861
471.049, 3670, 0.170224, 73.44, 0.815615
472.401, 3680, 0.129436, 84.38, 0.897156
473.582, 3690, 0.136580, 78.12, 0.803872
474.792, 3700, 0.203092, 70.31, 0.720228
476.017, 3710, 0.137690, 79.69, 1.125055
477.245, 3720, 0.267568, 67.19, 0.844761
478.467, 3730, 0.198699, 75.00, 0.767096
479.715, 3740, 0.167525, 67.19, 0.911175
480.965, 3750, 0.161021, 76.56, 0.903618
482.159, 3760, 0.177872, 71.88, 0.773643
483.411, 3770, 0.184903, 68.75, 0.974606
484.702, 3780, 0.152764, 81.25, 0.920021
485.894, 3790, 0.193411, 70.31, 0.979499
487.062, 3800, 0.144156, 75.00, 1.064520
488.730, 3810, 0.322309, 53.12, 0.851265
489.900, 3820, 0.141941, 81.25, 0.884548
491.048, 3830, 0.190512, 67.19, 0.889453
492.235, 3840, 0.161947, 76.56, 0.764322
493.429, 3850, 0.185907, 73.44, 0.844784
494.606, 3860, 0.195533, 65.62, 0.742686
495.765, 3870, 0.145900, 84.38, 0.913996
496.914, 3880, 0.123952, 84.38, 0.960045
498.059, 3890, 0.154151, 81.25, 1.005280
499.223, 3900, 0.218826, 64.06, 0.870756
500.388, 3910, 0.176735, 73.44, 0.817045
501.598, 3920, 0.199870, 68.75, 0.812933
502.866, 3930, 0.122719, 85.94, 0.906985
504.147, 3940, 0.182387, 76.56, 0.856136
505.345, 3950, 0.170598, 81.25, 0.782580
506.496, 3960, 0.235488, 57.81, 0.810900
507.656, 3970, 0.228559, 62.50, 0.831267
508.809, 3980, 0.187240, 68.75, 0.892401
509.968, 3990, 0.182966, 75.00, 0.729150
511.112, 4000, 0.180989, 71.88, 0.976647
512.682, 4010, 0.183928, 75.00, 0.870404
513.863, 4020, 0.205813, 65.62, 0.881920
515.089, 4030, 0.179576, 76.56, 0.734137
516.302, 4040, 0.215809, 65.62, 0.872261
517.518, 4050, 0.249445, 57.81, 0.613351
518.731, 4060, 0.150624, 85.94, 0.895916
519.972, 4070, 0.165302, 73.44, 0.936469
521.212, 4080, 0.173238, 67.19, 1.046097
522.495, 4090, 0.185467, 71.88, 0.895162
523.782, 4100, 0.220061, 65.62, 0.970391
524.954, 4110, 0.148172, 78.12, 0.731237
526.101, 4120, 0.179684, 71.88, 0.915972
527.244, 4130, 0.124288, 87.50, 0.794287
528.578, 4140, 0.162471, 75.00, 0.989296
529.934, 4150, 0.202851, 71.88, 0.761853
531.293, 4160, 0.162198, 76.56, 0.941414
532.596, 4170, 0.133976, 84.38, 0.902766
