Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, DiscriminatorOpAcc, GeneratorLoss
2079.830, 2080, 0.436622, 43.75, 50.00, 1.008458
2089.319, 2090, 0.450135, 53.12, 50.00, 0.984218
2098.717, 2100, 0.380401, 62.50, 50.00, 0.953774
2108.096, 2110, 0.447582, 43.75, 50.00, 0.889813
2117.611, 2120, 0.372091, 64.06, 50.00, 1.066589
2127.032, 2130, 0.448635, 50.00, 50.00, 1.150115
2136.515, 2140, 0.378400, 60.94, 50.00, 1.011326
2146.080, 2150, 0.430778, 48.44, 50.00, 0.986555
2155.457, 2160, 0.403108, 50.00, 50.00, 0.923165
2164.843, 2170, 0.397643, 56.25, 50.00, 0.943787
2174.362, 2180, 0.381573, 60.94, 50.00, 1.093957
2183.765, 2190, 0.391707, 60.94, 50.00, 0.981708
2193.239, 2200, 0.468151, 50.00, 50.00, 0.848066
2203.324, 2210, 0.417589, 54.69, 50.00, 0.903541
2212.733, 2220, 0.407387, 60.94, 50.00, 1.137247
2222.224, 2230, 0.460066, 40.62, 50.00, 0.957071
2231.711, 2240, 0.436472, 48.44, 50.00, 0.880895
2241.240, 2250, 0.385568, 65.62, 50.00, 0.994074
2250.660, 2260, 0.371069, 59.38, 50.00, 0.918633
2260.153, 2270, 0.400805, 64.06, 50.00, 0.922209
2269.681, 2280, 0.405141, 57.81, 50.00, 1.036250
2279.595, 2290, 0.383118, 60.94, 50.00, 0.965387
2288.965, 2300, 0.413247, 48.44, 50.00, 1.017976
2298.518, 2310, 0.402751, 54.69, 50.00, 1.120660
2307.906, 2320, 0.368107, 65.62, 50.00, 1.035913
2317.357, 2330, 0.356006, 68.75, 50.00, 0.865840
2326.909, 2340, 0.445406, 50.00, 50.00, 1.014233
2336.362, 2350, 0.423534, 46.88, 50.00, 1.119187
2345.791, 2360, 0.404819, 54.69, 50.00, 0.940530
2355.276, 2370, 0.388982, 60.94, 50.00, 0.961272
2364.651, 2380, 0.434886, 54.69, 51.56, 1.062386
2374.015, 2390, 0.438948, 51.56, 50.00, 0.958759
