Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, GeneratorLoss
2777.607, 2650, 0.560320, 81.25, 0.818738
2787.854, 2660, 0.527654, 75.00, 0.876678
2797.679, 2670, 0.719804, 57.81, 0.761862
2807.298, 2680, 0.616633, 73.44, 1.102028
2817.009, 2690, 0.669594, 60.94, 0.941621
2826.722, 2700, 0.779437, 50.00, 0.631510
2836.949, 2710, 0.837110, 42.19, 0.801115
2846.600, 2720, 0.591231, 73.44, 0.914939
2856.328, 2730, 0.864986, 31.25, 0.627184
2866.072, 2740, 0.872787, 31.25, 0.873897
2875.748, 2750, 0.631196, 65.62, 0.842611
2886.112, 2760, 0.851002, 31.25, 0.653869
2895.830, 2770, 0.735807, 45.31, 0.971979
2905.504, 2780, 0.773281, 43.75, 0.909590
2915.219, 2790, 0.676323, 62.50, 0.865689
2924.953, 2800, 0.844555, 39.06, 0.687713
2935.133, 2810, 0.529290, 73.44, 0.819643
2944.831, 2820, 0.841392, 40.62, 0.506361
2954.561, 2830, 0.965244, 25.00, 0.416517
2964.303, 2840, 0.649952, 62.50, 0.963000
2973.964, 2850, 0.725965, 51.56, 0.693917
2984.307, 2860, 0.792116, 42.19, 0.495533
2994.031, 2870, 0.657703, 54.69, 0.839978
3003.663, 2880, 0.701205, 51.56, 0.984582
3013.428, 2890, 0.524531, 79.69, 0.941535
3023.142, 2900, 0.663782, 64.06, 0.566920
3033.393, 2910, 0.890162, 35.94, 0.844968
3043.124, 2920, 0.554916, 79.69, 1.100757
3052.802, 2930, 0.913635, 25.00, 0.752158
3062.513, 2940, 0.612754, 64.06, 0.930096
3072.317, 2950, 0.814267, 40.62, 0.894865
3082.583, 2960, 0.737005, 45.31, 0.858820
3092.258, 2970, 0.810439, 39.06, 0.862940
3102.060, 2980, 0.757768, 57.81, 0.633375
3111.734, 2990, 0.747694, 48.44, 0.795013
3121.545, 3000, 0.780056, 46.88, 0.833712
3131.951, 3010, 0.815943, 40.62, 0.448405
3141.924, 3020, 0.806805, 42.19, 0.769948
3151.802, 3030, 0.603845, 71.88, 0.978339
3161.545, 3040, 0.647191, 65.62, 0.620457
3171.367, 3050, 0.638905, 71.88, 0.571581
3181.626, 3060, 0.857844, 32.81, 0.685894
3191.420, 3070, 0.669320, 57.81, 1.015800
3201.103, 3080, 0.630206, 67.19, 0.654088
3210.845, 3090, 0.838742, 37.50, 0.458472
3220.673, 3100, 0.811902, 43.75, 0.648932
3230.860, 3110, 0.821349, 45.31, 0.829134
3240.555, 3120, 0.803396, 46.88, 0.756258
3250.257, 3130, 0.644867, 65.62, 0.767405
3259.916, 3140, 0.727153, 45.31, 0.782747
3269.647, 3150, 0.757015, 46.88, 0.841213
3280.080, 3160, 0.710345, 53.12, 0.678716
3289.779, 3170, 0.789210, 43.75, 0.803230
3299.487, 3180, 0.670840, 51.56, 0.941510
3309.246, 3190, 0.818540, 40.62, 0.700274
3319.003, 3200, 0.631109, 64.06, 0.838393
3329.252, 3210, 0.853293, 32.81, 0.852640
3339.081, 3220, 0.711551, 54.69, 0.740293
3348.775, 3230, 0.688266, 60.94, 0.786019
3358.485, 3240, 0.696970, 53.12, 0.734974
3368.220, 3250, 0.704483, 50.00, 0.766170
3378.405, 3260, 0.666214, 64.06, 0.892944
3388.096, 3270, 0.696255, 53.12, 0.958428
3397.867, 3280, 0.523100, 82.81, 0.820863
3407.553, 3290, 0.714190, 53.12, 0.560618
3417.231, 3300, 0.646787, 62.50, 0.843092
3427.534, 3310, 0.603277, 62.50, 0.877871
3437.197, 3320, 0.821550, 40.62, 0.497768
3446.908, 3330, 0.740827, 46.88, 0.636265
3456.670, 3340, 0.491214, 82.81, 0.820289
3466.364, 3350, 0.623164, 71.88, 0.694473
3476.533, 3360, 0.634261, 59.38, 0.759202
3486.268, 3370, 0.768488, 46.88, 0.722467
3496.011, 3380, 0.616195, 62.50, 0.755895
3505.949, 3390, 0.708714, 56.25, 0.752242
3515.691, 3400, 0.924516, 29.69, 0.819454
3525.914, 3410, 0.729928, 53.12, 0.893831
3535.618, 3420, 0.760022, 42.19, 0.992183
3545.327, 3430, 0.748114, 42.19, 0.839251
3555.081, 3440, 0.688412, 60.94, 0.762993
3564.913, 3450, 0.752694, 50.00, 0.687072
3575.274, 3460, 0.740394, 54.69, 0.778389
3585.072, 3470, 0.672146, 56.25, 0.601076
3594.771, 3480, 0.627064, 59.38, 0.861723
3604.434, 3490, 0.713690, 45.31, 0.759198
3614.160, 3500, 0.757872, 60.94, 0.908425
3624.336, 3510, 0.712436, 51.56, 0.631832
3634.014, 3520, 0.638868, 67.19, 0.631282
3643.741, 3530, 0.805860, 46.88, 0.637990
3653.404, 3540, 0.604916, 65.62, 0.827327
3663.105, 3550, 0.705329, 57.81, 0.848077
3673.410, 3560, 0.734643, 51.56, 0.573672
3683.094, 3570, 0.656293, 59.38, 0.914702
3692.761, 3580, 0.792901, 46.88, 0.638625
3702.550, 3590, 0.781878, 40.62, 0.709343
3712.235, 3600, 0.702133, 53.12, 0.861848
3722.481, 3610, 0.657615, 59.38, 0.794399
3732.266, 3620, 0.869446, 35.94, 0.521778
3741.898, 3630, 0.773243, 42.19, 0.894638
3751.525, 3640, 0.878206, 31.25, 0.704869
3761.307, 3650, 0.662943, 59.38, 0.591265
3771.544, 3660, 0.661227, 59.38, 0.649409
3781.234, 3670, 0.833665, 34.38, 0.753117
3791.000, 3680, 0.790670, 40.62, 0.896739
3800.632, 3690, 0.577857, 71.88, 0.837376
3810.271, 3700, 0.654085, 64.06, 0.895625
3820.549, 3710, 0.731683, 50.00, 0.826354
3830.255, 3720, 0.765364, 48.44, 0.796987
3839.885, 3730, 0.741916, 42.19, 0.819259
3849.723, 3740, 0.687350, 54.69, 0.764860
3859.394, 3750, 0.852548, 34.38, 0.762159
3869.583, 3760, 0.724195, 50.00, 0.673349
3879.311, 3770, 0.842228, 29.69, 0.641265
3888.998, 3780, 0.725410, 45.31, 0.847618
3898.714, 3790, 0.792917, 40.62, 0.891438
3908.506, 3800, 0.651125, 60.94, 0.788791
3918.675, 3810, 0.758016, 43.75, 0.637242
3928.331, 3820, 0.762912, 40.62, 0.773584
3938.131, 3830, 0.636153, 65.62, 0.822918
3947.801, 3840, 0.754507, 45.31, 0.714974
3957.540, 3850, 0.749038, 43.75, 0.710261
3967.983, 3860, 0.683010, 48.44, 0.759881
3977.630, 3870, 0.723730, 54.69, 0.812164
3987.304, 3880, 0.663669, 62.50, 0.832442
